ID;CYRILLIC;RUSSCII;RUSSHR;RUSSOUT
CAPITAL A;А;A;A;A
SMALL A;а;a;a;a
CAPITAL E;Э;EH,Eh;EH,Eh;EH
SMALL E;э;eh;eh;eh
CAPITAL YERU;Ы;Y,UI,Ui;Y,UI,Ui;Y
SMALL YERU;ы;y,ui;y,ui;y
CAPITAL O;О;O;O;O
SMALL O;о;o;o;o
CAPITAL U;У;U;U;U
SMALL U;у;u;u;u
CAPITAL YA;Я;JA,Ja;JA,Ja;JA
SMALL YA;я;ja;ja;ja
CAPITAL IE;Е;E,JE,Je;E,JE,Je;E
SMALL IE;е;e,je;e,je;e
CAPITAL I;И;I,JI,Ji;I,JI,ji;I
SMALL I;и;i,ji;i,ji;i
CAPITAL IO;Ё;JO,Jo;JO,Jo;JO
SMALL IO;ё;jo;jo;jo
CAPITAL YU;Ю;JU,Ju;JU,Ju;JU
SMALL YU;ю;ju;ju;ju
CAPITAL YAT;Ѣ;#E;#E;E
SMALL YAT;ѣ;#e;#e;e
CAPITAL UKRAINIAN I;І;#I;#I;I
SMALL UKRAINIAN I;і;#i;#i;i
CAPITAL SHORT I;Й;J;J;J
SMALL SHORT I;й;j;j;j
CAPITAL JE;Ј;#J;#J;J
SMALL JE;ј;#j;#j;j
CAPITAL KA;К;K;K;K
SMALL KA;к;k;k;k
CAPITAL HA;Х;KH,Kh;KH,Kh;KH
SMALL HA;х;kh;kh;kh
CAPITAL EF;Ф;F,PH,Ph;F,PH,Ph;F
SMALL EF;ф;f,ph;f,ph;f
CAPITAL ZE;З;Z;Z;Z
SMALL ZE;з;z;z;z
CAPITAL ZHE;Ж;ZH,Zh;Ž;ZH
SMALL ZHE;ж;zh;ž;zh
CAPITAL TSE;Ц;C;C;C
SMALL TSE;ц;c;c;c
CAPITAL CHE;Ч;CH,Ch;Č,Ć;CH
SMALL CHE;ч;ch;č,ć;ch
CAPITAL SHA;Ш;SH,Sh;Š;SH
SMALL SHA;ш;sh;š;sh
CAPITAL SHCHA;Щ;SHH,SHCH,Shh,Snch;ŠŠ,ŠČ,ŠĆ,Šš,Šč,Šć;SHH
SMALL SHCHA;щ;shh,shch;šš,šč,šć;shh
CAPITAL BE;Б;B;B;B
SMALL BE;б;b;b;b
CAPITAL VE;В;V;V;V
SMALL VE;в;v;v;v
CAPITAL GHE;Г;G;G;G
SMALL GHE;г;g;g;g
CAPITAL DE;Д;D;D;D
SMALL DE;д;d;d;d
CAPITAL EL;Л;L;L;L
SMALL EL;л;l;l;l
CAPITAL EM;М;M;M;M
SMALL EM;м;m;m;m
CAPITAL EN;Н;N;N;N
SMALL EN;н;n;n;n
CAPITAL PE;П;P;P;P
SMALL PE;п;p;p;p
CAPITAL ER;Р;R;R;R
SMALL ER;р;r;r;r
CAPITAL ES;С;S;S;S
SMALL ES;с;s;s;s
CAPITAL TE;Т;T;T;T
SMALL TE;т;t;t;t
CAPITAL HARD SIGN;Ъ;"";"";
SMALL HARD SIGN;ъ;";";
CAPITAL SOFT SIGN;Ь;'';'';J
SMALL SOFT SIGN;ь;';';j
CAPITAL FITA;Ѳ;#F;#F;F
SMALL FITA;ѳ;#f;#f;f
CAPITAL IZHITSA;Ѵ;#Y;#Y;Y
SMALL IZHITSA;ѵ;#y;#y;y
CAPITAL SCHWA;Ə;#EH;#EH;E
SMALL SCHWA;ə;#eh;#eh;e
MODIFIER SMALL J;ʲ;#jj;#jj;j
NUMBER SIGN;#;##;##;#
COMBINING ACUTE ACCENT;́;!1;!1;
COMBINING MACRON;̄;!2;!2;
COMBINING CARON;̌;!3;!3;
COMBINING DIAERESIS;̈;!4;!4;
QUOTATION MARK;";#";#";"
APOSTROPHE;';#';#';'
LESS-THAN SIGN;<;#<;#<;<
GREATER-THAN SIGN;>;#>;#>;>
LEFT DOUBLE QUOTATION MARK;«;#<<;#<<;«
RIGHT DOUBLE QUOTATION MARK;»;#>>;#>>;»
CAPITAL O WITH STROKE;Ø;#0;#0;Ø
SQUARE ROOT;√;#R;#R;√
SECTION SIGN;§;#S;#S;§
PARAGRAPH SIGN;¶;#P;#P;¶
N-ARY SUMMATION;∑;#sum;#sum;∑
N-ARY PRODUCT;∏;#prod;#prod;∏
FOR ALL;∀;#forall;#forall;∀
THERE EXISTS;∃;#exists;#exists;∃
ELEMENT OF;∈;#in;#in;∈
LATIN SMALL LETTER ESH;ʃ;#sh;#sh;ʃ
LATIN SMALL LETTER I WITH STROKE;ɨ;#y;#y;ɨ
